entry_date,exit_date,entry_price,exit_price,return_pct,win
2018-05-16,2018-10-16,240.576,250.0263,0.03928197894381656,True
2019-02-04,2019-06-03,243.9166,247.3423,0.014044324045081616,True
2019-06-12,2019-08-16,259.7917,261.4717,0.006466454971163614,True
2019-09-09,2020-03-02,269.9355,282.4674,0.046425498349565594,True
2020-05-11,2021-10-05,268.8781,407.1316,0.5141861523830559,True
2021-10-19,2022-01-24,423.6199,414.92,-0.02053716190369434,False
2022-03-31,2022-04-25,427.3751,405.4877,-0.05121353351287911,False
2022-08-03,2022-09-09,393.8772,386.417,-0.018940511528703834,False
2022-09-12,2022-09-14,390.57,375.0126,-0.039832713962331734,False
2022-11-16,2022-12-29,377.3642,367.5837,-0.025917977568343332,False
2023-01-13,2023-03-14,382.021,375.5309,-0.016988810489290556,False
2023-03-31,2023-09-26,393.9585,412.8002,0.047826628867358556,True
2023-11-15,2024-08-12,435.8692,522.2797,0.19824874556819708,True
2024-08-15,2024-12-30,541.6717,579.8091,0.07040694897399352,True
